,Mobile Phones,Score,Year,Brand
0,Google Pixel 6,6,2021,Google
1,Google Pixel 6 Pro,5,2021,Google
2,iPhone 13 Pro,6,2021,Apple
3,Google Pixel 5a,6,2021,Google
4,Mi 11,4,2021,Mi
5,Huawei Mate 40 Pro,4,2020,Huawei
6,iPhone 12 Pro Max,6,2020,Apple
7,iPhone 12 mini,6,2020,Apple
8,iPhone 12 Pro,6,2020,Apple
9,Google Pixel 5,6,2020,Google
10,Microsoft Surface Duo,2,2020,Microsoft
11,Google Pixel 4a,6,2020,Google
12,Samsung Galaxy Note 20 Ultra,3,2020,Samsung
13,iPhone SE 2020,6,2020,Apple
14,Samsung Galaxy A51,4,2020,Samsung
15,Samsung Galaxy S20 Ultra,3,2020,Samsung
16,Samsung Galaxy Z Flip,2,2020,Samsung
17,Motorola razr,1,2020,Motorola
18,Google Pixel 4 XL,4,2019,Google
19,iPhone 11,6,2019,Apple
20,iPhone 11 Pro Max,6,2019,Apple
21,Fairphone 3,10,2019,Fairphone
22,Samsung Galaxy Note10 Plus 5G,3,2019,Samsung
23,Shift 6m,9,2019,Shift
24,Huawei Mate 20 X 5G,4,2019,Huawei
25,Google Pixel 3a,6,2019,Google
26,Google Pixel 3a XL,6,2019,Google
27,Samsung Galaxy Fold,2,2019,Samsung
28,Samsung Galaxy S10,3,2019,Samsung
29,Huawei Mate 20 Pro,4,2018,Huawei
30,iPhone XR,6,2018,Apple
31,Google Pixel 3 XL,4,2018,Google
32,Google Pixel 3,4,2018,Google
33,iPhone XS,6,2018,Apple
34,Nokia 8110 4G,8,2018,Nokia
35,LG G7 Thin Q,4,2018,LG
36,OnePlus 6,5,2018,OnePlus
37,Huawei P20 Pro,4,2018,Huawei
38,Samsung Galaxy S9 Plus,4,2018,Samsung
39,Samsung Galaxy S9,4,2018,Samsung
40,iPhone X,6,2017,Apple
41,Google Pixel 2 XL,6,2017,Google
42,Google Pixel 2,6,2017,Google
43,Huawei Mate 10 Pro,4,2017,Huawei
44,iPhone 8,6,2017,Apple
45,iPhone 8 Plus,6,2017,Apple
46,Samsung Galaxy Note8,4,2017,Samsung
47,Essential Phone,1,2017,Essential
48,Samsung Galaxy Note Fan Edition,4,2017,Samsung
49,OnePlus 5,7,2017,OnePlus
50,Samsung Galaxy S8 Plus,4,2017,Samsung
51,Samsung Galaxy S8,4,2017,Samsung
52,LG G6,5,2017,LG
53,Huawei Mate 9,5,2016,Huawei
54,Google Pixel XL,7,2016,Google
55,Google Pixel,7,2016,Google
56,iPhone 7,7,2016,Apple
57,iPhone 7 Plus,7,2016,Apple
58,Sony Xperia X Compact,6,2016,Sony
59,Moto Z,7,2016,Moto
60,Samsung Galaxy Note7,4,2016,Samsung
61,Asus Zenfone 3 Max,6,2016,Asus
62,Meizu MX6,7,2016,Meizu
63,LG G5,8,2016,LG
64,Vivo X7 Plus,7,2016,Vivo
65,Vivo X7,6,2016,Vivo
66,Huawei P9,7,2016,Huawei
67,Xiaomi Mi 5,6,2016,Xiaomi
68,iPhone SE,6,2016,Apple
69,Oppo R9m,7,2016,Oppo
70,Samsung Galaxy S7,3,2016,Samsung
71,Samsung Galaxy S7 Edge,3,2016,Samsung
72,Lenovo K5 Note,6,2016,Lenovo
73,Fairphone 2,10,2015,Fairphone
74,Huawei Mate 8,6,2015,Huawei
75,Xiaomi Redmi Note 3,8,2015,Xiaomi
76,Wiko Pulp 4G Phone,7,2015,Wiko
77,iPhone 6s,7,2015,Apple
78,iPhone 6s Plus,7,2015,Apple
79,Nexus 5X,7,2015,Nexus
80,Nexus 6P,2,2015,Nexus
81,OnePlus 2,7,2015,OnePlus
82,Shift 5.1,6,2015,Shift
83,LG G4,8,2015,LG
84,Samsung Galaxy S6,4,2015,Samsung
85,Samsung Galaxy S6 Edge,3,2015,Samsung
86,HTC One M9,2,2015,HTC
87,Nexus 6,7,2014,Nexus
88,iPhone 6 Plus,7,2014,Apple
89,iPhone 6,7,2014,Apple
90,Samsung Galaxy Alpha,5,2014,Samsung
91,Amazon Fire Phone,3,2014,Amazon
92,Samsung Galaxy S5 Mini,5,2014,Samsung
93,OnePlus One,5,2014,OnePlus
94,Samsung Galaxy S5,5,2014,Samsung
95,HTC One M8,2,2014,HTC
96,Fairphone 1,7,2013,Fairphone
97,Nexus 5,8,2013,Nexus
98,iPhone 5c,6,2013,Apple
99,iPhone 5s,6,2013,Apple
100,Motorola Moto X 1st Generation,7,2013,Motorola
101,Samsung Galaxy S4,8,2013,Samsung
102,HTC One,1,2013,HTC
103,BlackBerry Z10,8,2013,BlackBerry
104,Nexus 4,7,2012,Nexus
105,Samsung Galaxy Note II,8,2012,Samsung
106,iPhone 5,7,2012,Apple
107,Samsung Galaxy S III,8,2012,Samsung
108,Motorola Droid 4,4,2012,Motorola
109,Samsung Galaxy Nexus,7,2011,Samsung
110,Motorola Droid RAZR,4,2011,Motorola
111,iPhone 4S,6,2011,Apple
112,Samsung Galaxy Note,8,2011,Samsung
113,Motorola Droid Bionic,9,2011,Motorola
114,Motorola Droid 3,6,2011,Motorola
115,Samsung Galaxy S II,8,2011,Samsung
116,Samsung Galaxy S 4G,6,2011,Samsung
117,iPhone 4 Verizon,6,2011,Apple
118,Motorola Atrix 4G,9,2011,Motorola
119,Nexus S,7,2010,Nexus
120,HTC Surround,5,2010,HTC
121,Nokia N8,8,2010,Nokia
122,iPhone 3GS,7,2009,Apple
123,iPhone 3G,7,2008,Apple
124,iPhone 1st Generation,2,2007,Apple
